gene.index	RP.Rsum	FC..class1.class2.	pfp	P.value
hsa-miR-4802-3p	1500	101.2	0.464668267003444	0.1072	0.002785
hsa-miR-708-5p	2447	102.7	0.471967787661516	0.1099	0.002896
hsa-miR-1343-3p	266	103	0.465713319595964	0.1094	0.002923
hsa-miR-3679-5p	833	104.3	0.49364733397521	0.1115	0.003023
hsa-miR-628-3p	1988	105.4	0.454175893185802	0.1132	0.003113
hsa-miR-330-5p	730	105.4	0.473007567916174	0.1118	0.003115
hsa-miR-10399-5p	42	107.3	0.490570130446201	0.1159	0.003274
hsa-miR-30d-3p	579	110	0.463622456851893	0.1223	0.003499
hsa-miR-3614-5p	772	111.5	0.473007567916174	0.1253	0.003632
hsa-miR-4797-5p	1492	113.2	0.434027674663597	0.129	0.003787
hsa-miR-3691-5p	856	114.7	0.471967787661516	0.1317	0.003919
hsa-miR-4786-5p	1475	115.1	0.470927257475127	0.1315	0.003961
hsa-miR-23a-5p	506	116.5	0.441483479582645	0.1341	0.00409
hsa-miR-5193	1644	117.3	0.458382004156013	0.135	0.004166
hsa-miR-26a-1-3p	521	119.6	0.435095151620097	0.1405	0.00439
hsa-miR-628-5p	1989	124.2	0.421155960662223	0.1537	0.004862
hsa-miR-17-3p	341	126	0.415758666522498	0.1577	0.005048
hsa-miR-589-3p	1904	126.6	0.420078115979374	0.158	0.005115
hsa-miR-3911	916	130.4	0.498761465671852	0.1687	0.005525
hsa-miR-29a-5p	541	130.5	0.402722176845605	0.1673	0.005544
hsa-miR-548ay-3p	1743	131	0.405992359675837	0.167	0.005597
hsa-miR-3065-3p	566	133.3	0.408168370708106	0.1728	0.005855
hsa-miR-548ay-5p	1744	133.4	0.414676780426886	0.1715	0.005875
hsa-miR-579-5p	1890	133.8	0.420078115979374	0.1707	0.005913
hsa-miR-6500-3p	2018	135.1	0.386259141133346	0.1733	0.006067
hsa-miR-450a-5p	1177	135.2	0.38404980679516	0.1718	0.006079
hsa-miR-493-5p	1526	135.2	0.498761465671852	0.17	0.00608
hsa-miR-2277-3p	499	135.4	0.411426245726465	0.1689	0.006104
hsa-miR-1260a	178	136.2	0.3928669162308	0.1697	0.006197
hsa-miR-497-5p	1533	136.6	0.408168370708106	0.1692	0.006241
hsa-miR-128-3p	214	138.6	0.407080775450501	0.174	0.006485
hsa-miR-4673	1293	139.9	0.3928669162308	0.1765	0.006644
hsa-miR-204-5p	437	140.3	0.40381306161659	0.1762	0.0067
hsa-miR-9903	2649	141	0.481298941547565	0.1766	0.00678
hsa-miR-500b-3p	1562	141.5	0.484395962502666	0.1766	0.00685
